id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,x,,,,,,,Jimmy this ready for review/commit? If so please 'submit'. Thanks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17369,,,,,,,,Marking this issue as resolved. Reasons: - Not reproducible. - No feedback from reporter. - If there was a dependency issue; it has probably been fixed by the change in r773502.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34559,,,,,,,,Lazy session associated has been implemented in the TuscanyValve The spec people are still discussing Scope so I am going to close this and we can open a new issue when the spec clearly defines how scopes operate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80577,,,,,,,,Test log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22447,,,,,,,,A RangeValidator exists by now which looks very similar to yours.,Thanks; a good idea. Being a new feature; this belongs to 1.5 I think (and then we can do a generified version straight away). Java foundation classes should definitely include a Range<T> class.,Moved to next milestone release.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52102,,,,,,,,Due to limitations in JIRA; the resolution on some issues had to be changed; as part of removing the fix release from the issue. Only issues that are actually fixed should have a fix release.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53257,x,,,,,,,Thanks for the patch; Michael. Applied with a few modifications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7278,x,,,,,,,Hi George; I just checked in a fix for the empty stack exception. Can you please verify? Thanks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33497,,,x,,,,,Closing because this has been in RESOLVED state for over one year; if it turns out to not be fixed please reopen.,Fixed in revision 512383. You can now obtain helpers that support extensible namespaces by calling SDOUtil.createHelperContext(true).,Sorry - previous was wrong version. Someone with admin rights could remove the older versions,Handles same issue with attributes?,Hi everyone. There are 4 places in the createFeature method where eClass.getEStructuralFeatures().add is called. First is when content kind is mixed and type is EFeatureMapEntry (whatever that means - but name was 'mixed'). Second is alsp content kind mixed and everything else - eg. xMLNSPrefixMap. Third is type instanceof EClass which is where I changed the add to set. Fourth is the attributes. I believe the issue Frank raised with the attributes is handled if there put: åÊåÊåÊåÊåÊåÊint existingIndex = eClass.getEAllStructuralFeatures().indexOf(eClass.getEStructuralFeature(name)); åÊåÊåÊåÊåÊåÊif (existingIndex > -1) { åÊåÊåÊåÊåÊåÊ eClass.getEStructuralFeatures().set(existingIndex; eAttribute); åÊåÊåÊåÊåÊåÊ} else { åÊåÊåÊåÊåÊåÊ eClass.getEStructuralFeatures().add(eAttribute); åÊåÊåÊåÊåÊåÊ} I have tried to modify the test case for this and it seems to handle it. I'll attach the two new versions (still don't know what that Patch thing is). Are we covered now? And have you thought about how to implement these changes the right way? ps. I haven't looked at the simple type issue you mention Frank.,I feared that the hack wasn't good enough and generally I never expected that the changes was of a standard that could get into the SDO baseline. That fact that code is more or replicated directly from EMF is not pretty. Of course I am willing to follow this issue and keep testing etc. I fear that I won't be able to make any relevant changes without your help as I find the EMF part hard to get a thorough understanding of. First I'll try to update the qad test-case to see I can trigger the issue you mention.,Christian; I'm glad to see that you've been able to run your test case; but the hack in createFeature() is not the proper general solution. We can't change the behavior of createFeature() like this; or it will break other things. For example; in the case where there are real duplicates - e.g.; a complexType with an attribute and and element with the same name. This also doesn't handle the case of a global element of simpleType. So; we can't commit this kind of change in Tuscany - we need to come up with a proper way to do it without breaking other things. How soon are you looking to have this implemented and if the answer is soon; are you willing to keep helping with the implementation?,Mail archive: åÊåÊåÊåÊhttp://www.mail-archive.com/tuscany-user@ws.apache.org/msg00644.html,Sorry I don't know that Patch thing :( This version contains the latest changes where the createFeature has been pulled down from XSDECoreBuilder. Since I (at the moment) did not want to change code in EMF I had to pull down the entire createFeature method (since it was already overridden) from XSDECoreBuilder and changed at the spot you pointed out: åÊåÊåÊåÊåÊåÊ// NON-TUSCANY åÊåÊåÊåÊåÊåÊint existingIndex = eClass.getEAllStructuralFeatures().indexOf(eClass.getEStructuralFeature(name)); åÊåÊåÊåÊåÊåÊif (existingIndex > -1) { åÊåÊåÊåÊåÊåÊ eClass.getEStructuralFeatures().set(existingIndex; eReference); åÊåÊåÊåÊåÊåÊ} else { åÊåÊåÊåÊåÊåÊ eClass.getEStructuralFeatures().add(eReference); åÊåÊåÊåÊåÊåÊ} Now the test class succeds even using DocumentRoot!!! I have no idea if all scenarios are handled...,Reading a response from Frank Budinsky; I realized that the issues are probably solved with the 2 fixes. Adding or replacing individual properties in a single type is not necessary when you can redefine an entire type. SO changing TestTypeChangesAndExtensibleNamespaces.generate to just: XSDHelper.INSTANCE.define(new String(xsdFile.getBytes('UTF-8'))); DataObject documentDataObject = DataFactory.INSTANCE.create(namespace; rootElement+'Type'); handleRootDataObject(documentDataObject); Actually makes the program work! Frank's answer: Looking at your test program; I can see that what you're trying to do is more than I thought; so it's going to be harder. Let me explain. In the FIRST part; you define a Type named 'TestElementXType'. Then in SECOND; you add a second Type: 'TestElementYType'; which should work with the 'true' added to XSDHelper.define(); which allows it to proceed. In the THIRD part; you redefine Type 'TestElementXType'; which should work with the addToSortedList() change. That's my theory; anyway :-) What isn't working; since we haven't done anything to support it; is incremental addition/modification of the properties in a Type. Right now; all we have is the ability to add new types or completely replace a type with a new version (like you're doing for TestElementXType in part THREE). You can't add to or replace individual properties in a single type; which is what you're also trying to do with the global elements/properties in the 'DocumentRoot' Type. To test this theory; you could change the global element in the first schema to something like this: åÊåÊåÊåÊåÊåÊåÊåÊ<element name='RootElement' type='xsd:AnyType'/> and then delete the global elements in the second and third schemas. This way; you would define the 'DocumentRoot' Type in the first call to XSDHelper.define() and it would contain the property 'RootElement'. On the second and third calls to TypeHelper.define(); since you have no new global elements; it won't change/replace the 'DocumentRoot'; which is causing the problem. I think you should try to get this much working first; then we can think about how to specially handle the DocumentRoot. Note that if we just change things to allow you to also add new properties or change properties in a Type; then it wouldn't be doing the right thing to 'TestElementXType' in the THIRD part - you would have ended up with a 'TestElementXType' that has 4 properties (2 double and 2 integer) instead of a redefinition. Frank.,Here is the rather ugly version with the methods copied down from XSDECoreBuilder...,Just inserted 'true' to force namespace to be extended. All changes marked by NON-TUSCANY comment,This program demonstrates the issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70304,,,,,,,,Fine. So I resolve this with just upgrading the used SLF4J API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38950,x,,,,,,,I've re-worked my code and the problem has now 'gone away'. The original code; where the problem was found; was ported from a solution that worked fine using ADF controls. The same code resulted in this problem. I moved some controls on the page around and altered some of the attributes and the tree table now collapses and expands as expected. Quite why the re-work has now eliminated the problem I do not know but as I need to progress with other things I've decided to close this issue rather than waste anymore of anybody's time. Thanks for all your help anyway.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36622,,,,,,,,Proposed patch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14704,,,,,,,,This has been committed in XWork and will be part of the XWork 2.1 release. See: http://jira.opensymphony.com/browse/XW-541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27430,,x,,,,,,Looks solid. I'm okay with resolving this one.,OK I've committed this. One difference from the patch was I retained the 'Integer' options for different credit card types and the CreditCardValidator(int) constructor. Which should make migrating from the existing CreditCardValidator to the new 'routines' package version one easier.,Reassigning to Niall since he's graciously volunteered to finish it,I'm not sure whats happening with JSR 303 (I requested membership of the EG; but heard nothing after I signed up to the JCP) - except that the JSR was accepted nothing else seems to have happened. Anyway my impression was JSR 303 was more than just annotations and involved defining a framework. My aim with the 'routines' package was to clearly separate out 'validation routines' from the framework aspect of validator with the routines usable on their own outside of any framework stuff. If JSR 303 happens and defines; for example; a credit card annotation then there will need to be some 'glue' which recognises when a bean property has been annotated as a credit card and invokes our routines. I don't believe what were doing here would need to change - what would need to change is implementing the 'glue' (i.e. framework) which hooks the annotation to our routine. If/when JSR 303 happens this may turn out to be rubbish and as you say we may end up redoing this; but until JSR 303 becomes concrete its all just guesswork. Anyway; I've started on tests - need to add a bit more / finish off - but I think theres enough here to commit and I'll get back to it when I find some more cycles.,It's simple; which I'm a big fan of. The only concern I have is whether anything important is lost by treating credit cards only as validators ‰ÛÒ will we ever need to put them in collections; associate them with names; sort them; etc. ‰ÛÒ all the crap you want to use a full-fledged object for. I can't say something like that will definitely be required; but I can't rule it out either. I'm also wondering how easy it'll be to put JSR 303 annotations on top of this; but if it's going to be redone again for Validator 2; then no problem. My gut is saying that this is good enough and covers what people need today; and that going too overboard with it is overengineering. This works; is easy to understand; and simple to use; so I think going with it makes sense. Can you throw together tests for it?,P.S. Haven't tested the regular expressions here so it may have some glitches - I'll write tests if its agreed,As you mention I was thinking that the new routines version could use the new 'generic' code validator for individual cards and perhaps ditch the CreditCardType interface altogether. New cards types can simply be implemented by creating a new CodeValidator instance with an appropriate regular expression rather than having to define a new CreditCardType implementation. The main (IMO) advantage though is that if someone wanted to allow separators (spaces or dashes) they can define a regular expression with the separators as a 'non-capturing group' which means they get 'stripped' out before the check digit validation is done - and the valdiator can return a uniform card number without separators. Attaching an option for consideration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79309,,,,,,,,Closing old resolved issues,This task is going to take several hours (at least) to complete; especially as lots of new dependencies have been added to rave recently. Furthermore; the shindig dependencies turned up to not having their own appropriate license and notice files in place; which thus needs to be checked out first (by ourselves) too. For the next release (0.8-incubating) all this needs to be sorted out; before we can start creating a new release candidate... And therefore I'm upgrading this issue status to BLOCKER!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39032,,,,,,,,Reopening issues to set version.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24867,,,,,,,,Updated version of the patch. Removed the setter for the log storage provider in the stanza relay; and passed it either as constructor parameter of through provider registry as with other providers. If there is a need for a more generic stanza logger; these users could use the plain interface. The adapter I made is intended for filtering; so that only textual chat messages between users are let through; which I think is the most interesting detail to be logged. I updated the source file name and the comment to better indicate this.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49721,,,,,,,,It's actually been in there (in jakarta.apache.org/tapestry/current and in CVS) for a while.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21128,x,,,,,,,thanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2091,,,,,,,,Edited these issues to set the fix version.,Currently breaking this story down into tasks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65661,,,,,,,,Fixed in http://svn.apache.org/viewvc?view=revision&revision=1210845,The ServiceMix 4 code implements this part of the JBI specification: /**  * Get the JBI context for this component. The following methods are valid to use on the context:  * <ul>  * <li>{@link ComponentContext#getMBeanNames()}</li>  * <li>{@link ComponentContext#getMBeanServer()}</li>  * <li>{@link ComponentContext#getNamingContext()}</li>  * <li>{@link ComponentContext#getTransactionManager()}</li>  * </ul>  * All other methods on the returned context must throw a <code>IllegalStateException</code> exception if invoked.  *   * @return the JBI context for this component; which must be non-null.  */ public ComponentContext getContext();  However; since ServiceMix 3 does implement the getLogger() method (in fact; it uses a full-blown ComponentContext implementation); so I wonder if we could ignore the specification here for ServiceMix 4 as well. What do people think? The obvious workaround would be to use any kind of logger (slf4j; commons-logging;...) in your own code ‰ÛÒ in ServiceMix 4; all of those are provided by pax-logging anyway so whichever you choose will be nicely integrated with the rest of the logging.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76494,,,,,,,,Closed issues related to Roller 5.0 release.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8813,,,,,,,,checked in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15801,,,,,,x,,Given the dependencies; I don't think this is going to be an option for the cannonical Struts 2 distribution; unless it is reworked to use iBATIS or Cayenne.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28313,x,,,,,,,Thanks for that comment Richard! I was laboring under the (false) impression that I could not change the docs that went with our previous releases; but I see these are coming from a copy on our svn site; and we could actually change that one. Anybody object to my doing that? I could correct the link; and also indicate this release is 2 levels out of date.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12834,,,,,,,,Integrated in Struts2 #551 (See https://builds.apache.org/job/Struts2/551/) WW-3914 solves problem with returning always system implementation of FileManager (Revision 1405930) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/xwork-core/src/main/java/com/opensymphony/xwork2/util/fs/DefaultFileManagerFactory.java /struts/struts2/trunk/xwork-core/src/test/java/com/opensymphony/xwork2/util/fs/DefaultFileManagerFactoryTest.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23492,,,,,,,,behvaiors:ajax calls is not always 1:1. some behaviors are purely clientside. also; this comes up often so we should offer the devs a choice to do this even if it can have unwanted sideeffects.,Here is a behavior based on JQuery.bind() that allows that. I created it to show how to use JQuery's mouseenter/mouseleave events but it can be used for this case too. I believe that assigning several behaviors on the same event is bad practice because this will make several Ajax calls to the server side. Better do one call and then at the server side delegate to all interested parties.,I just ran into this problem; and do not understand the last comment. Is this issue solved? Would it be possible with some hints for how developer should attach multiple behaviours to the same event?,I think we did allow users to delegate AJAX calls to their behavior as they want with the new event dispatcher API.,I've been trying to implement something like IMergeableBehavior; but because of so many specific properties each behavior can provide; I think it won't be a good idea. Maybe other things must be considered to solve this: 1) Defining an IEventBehavior - which would serve for Javascript events *only*; like onChange; etc... interface IEventBehavior extends IBehavior; IHeaderContributor { åÊåÊåÊåÊpublic String getEvent(); } 2) Defining a class called AggregatedEventBehavior - which would... aggregate IEventBehaviors of the same event type class AggregatedEventBehavior { åÊåÊåÊåÊpublic AggregatedEventBehavior(IEventBehavior... events) { åÊåÊåÊåÊåÊåÊåÊåÊ... // check for event type consistency åÊåÊåÊåÊ} åÊåÊåÊåÊ.. // other methos like render; onComponentTag; etc; like in IBehavior } 3) Only one ajax call to this aggregated behavior (avoiding multiple Ajax calls) 4) If developer choses to add more than one event of the same type to a component; the framework should throw an exception. If the intention is to actually attach more than one behavior to the same event; the developer will have to use an IAggregatedEventBehavior 5) The need of a new method: Component.add(AggregatedEventBehavior) 6) Somehow; avoid the use of AttributeModifiers that refers to Javascript events Cheers; Bruno,moving to 1.4.0 This won't make it for 1.3,Assigned version (beta 4),I don't think this is going to make 1.3.0. Unscheduling for the time being.,The situation would already be improved a lot if the javadoc would make it clear that it is not possible to add multiple behaviors to the same event. Yet another option is to provide an aggregation behavior. Something that would allow you to merge 2 behaviors into 1. I am not sure how this could work. I am not familiar with Wicket.Event (a 1.3 feature?).,I don't really like this. We could use Wicket.Event for attaching events on to component instead of the attributes; but this would result in multiple ajax calls. I doubt that this is desirable.,i dont like what you propose; but i wont -1 it either; so go ahead.,i would say just call all ajax events that are on the same event. Why not that can be explained perfectly. Ajax works but if you have pure client side scripts it could fail (it could! because we still have already the ability to merge the behaviors!; so that you can prepend or append!),there is really no good way to do this that will work across the board. if we do it for ajax then people will want it for other things as well one compromise i can think of is to do this: iterate over behaviors that implement the invoked listener interface and call equals on them - if they are equal then invoke the listener on them as well is this a good compromise?,This has been discussed on the user list as well if I'm correctly. I thought the consensus was not to do anything about it; though error reporting could be improved?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35079,x,,,,,,,46fa49e75e79c4bf7351bbdc0653130f4e01dfb0 TS-1558: use_client_addr breaks control over upstream HTTP protocol version Thanks Uri!,New patch - Use HTTP/1.1 if the client request version isn't 0.9/1.0 + comment in records.config,If we are configured to always/never send HTTP/1.1 requests; that configuration will still take precedence. Since we do not do a hostdb lookup; the last two options: 2 - if the server has returned http1.1 before 3 - if the client request is 1.1 & the server has returned 1.1 before are problematic as we will never know if the server has previously returned a 1.1 response. All the patch does is set the 'previously seen server version' to be equal to the client request version ‰ÛÒ so if we are running with config option 2/3 set we will always send a request version that equals the client request version (which seems the best thing we can do in this transparent use case). I'll add a patch that flips the check order so we mark the server as HTTP/1.1 if the client request version is unfamiliar + add a comment to records.config.,Uri; with your patch do we still obey proxy.config.http.send_http11_request? Is HTTP/0.9 the best choice for the final else branch; maybe HTTP/1.1 would be better?,a3fa8b6edfa4c5144f0716e8ef34f43b959cce94 Spell authorized consistently,Completely non-related and probably belongs in another jira ‰ÛÒ but I've added a small patch to fix two comment typos in HttpTransact... (I know authorized can be spelt with an s ‰ÛÒ but we don't do that anywhere else in the code),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
